SKU_ID,Date,Page_traffic,Revenue($),Unit_price,Units_sold,Segment,1_Star_Rating,2_Star_Rating,3_Star_Rating,4_Star_Rating,5_Star_Rating,Image_Count,Bullet_Count,Title_Count,Description_Length,num_unique_Search_Terms,Organic Search Rank,Num_of_Promotions,Sum of Spend,Online_Clicks,Online_Cost,Online_Impressions,num_unique_campaigns,Clicks_video,Cost_video,Impressions_video,num_unique_campaigns_offline,Units_sold>1000
SKU732,13-08-2022,3260.0,37006,24.70360481,1498,Makeup,82,64,180,353,1859,11,6,67,125,5,4.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1
SKU1506,12-06-2021,3729.0,25316,22.22651449,1139,Makeup,31,15,41,42,180,8,8,126,221,10,22.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1
SKU840,29-10-2022,2675.0,32454,25.57446809,1269,Makeup,19,14,37,54,269,9,8,126,221,0,29.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1
SKU1387,19-03-2022,6281.0,36238,20.97106481,1728,Makeup,25,18,62,107,532,0,6,77,98,3,18.0,1,408.0364739,917,2654.489552,133688,4,5744,63978.2,6594469,2,1
SKU1183,23-01-2021,131.0,0,20.09952607,0,Skincare,23,21,45,91,559,16,7,140,139,0,18.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0
SKU78,13-08-2022,5521.0,33466,24.49926794,1366,Makeup,112,75,209,463,3236,0,6,81,105,8,27.0,0,0.0,1346,5784.062941,162630,4,0,0.0,0,0,1
SKU1237,01-05-2021,856.0,0,20.90566038,0,Makeup,25,24,58,113,675,3,8,125,221,0,11.0,1,204.0976693,0,0.0,0,0,0,0.0,0,0,0
SKU1377,10-04-2021,2796.0,32647,22.814116,1431,Skincare,65,49,112,278,1741,9,5,117,209,8,11.0,0,0.0,763,2056.909846,203335,2,0,0.0,0,0,1
SKU528,13-08-2022,2341.0,15218,17.51208285,869,Hair Care,29,24,88,200,1221,0,8,165,158,4,18.0,0,0.0,956,4422.62476,153728,2,0,0.0,0,0,0
SKU173,29-10-2022,4242.0,27114,25.70047393,1055,Skincare,15,0,0,0,0,8,5,91,54,3,28.0,0,0.0,1666,7693.773691,460142,6,0,0.0,0,0,1
SKU1948,24-09-2022,2756.0,36383,30.93792517,1176,Skincare,180,128,335,695,4325,8,7,129,209,12,34.0,0,0.0,474,1306.811186,63388,2,0,0.0,0,0,1
SKU1758,17-12-2022,1798.0,31488,41.16078431,765,Makeup,109,69,194,299,1744,10,7,113,209,4,18.0,0,0.0,740,3351.032275,106844,4,0,0.0,0,0,0
SKU277,03-07-2021,5372.0,21695,13.18043742,1646,Hair Care,41,40,87,161,916,11,7,115,209,5,12.0,0,0.0,658,2706.353746,123184,2,0,0.0,0,0,1
SKU789,02-04-2022,2790.0,25149,19.94369548,1261,Skincare,0,0,0,0,0,11,6,70,127,0,32.0,0,0.0,570,1988.287118,88386,4,4791,56344.76,5344861,2,1
SKU1879,10-04-2021,1443.668011,12059,17.78613569,678,Skincare,45,36,67,89,457,12,6,91,62,2,9.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0
SKU349,17-09-2022,1319.0,41040,37.61686526,1091,Skincare,168,118,338,719,4281,0,6,81,104,8,24.0,0,0.0,0,0.0,0,0,0,0.0,0,0,1
SKU662,18-12-2021,3763.0,19250,12.03125,1600,Makeup,76,53,145,301,2105,5,5,81,57,13,36.0,0,0.0,439,1781.9215,101742,4,0,0.0,0,0,1
