iter	Passed	Remaining
0	65	65140
1	74	37190
2	83	27723
3	93	23236
4	109	21822
5	118	19566
6	126	17963
7	135	16741
8	143	15845
9	151	15040
10	161	14475
11	167	13828
12	176	13374
13	183	12895
14	191	12586
15	199	12245
16	204	11822
17	209	11444
18	214	11079
19	219	10770
20	225	10503
21	229	10188
22	233	9937
23	238	9696
24	242	9453
25	246	9227
26	252	9085
27	257	8933
28	261	8752
29	266	8608
30	271	8486
31	276	8349
32	280	8222
33	286	8128
34	290	8015
35	294	7892
36	300	7810
37	304	7717
38	309	7616
39	313	7531
40	319	7464
41	323	7388
42	328	7320
43	334	7269
44	339	7214
45	345	7160
46	350	7102
47	355	7042
48	359	6975
49	364	6929
50	371	6904
51	376	6858
52	381	6809
53	387	6780
54	392	6739
55	397	6707
56	403	6677
57	409	6643
58	413	6602
59	419	6578
60	425	6544
61	431	6528
62	437	6500
63	442	6469
64	447	6436
65	453	6412
66	458	6387
67	464	6372
68	481	6495
69	487	6477
70	493	6460
71	500	6456
72	507	6440
73	513	6427
74	519	6410
75	526	6397
76	533	6391
77	539	6380
78	547	6379
79	553	6364
80	559	6351
81	566	6341
82	572	6327
83	579	6319
84	585	6307
85	592	6298
86	599	6294
87	606	6284
88	614	6285
89	621	6285
90	628	6279
91	634	6265
92	641	6258
93	647	6245
94	654	6232
95	660	6222
96	667	6211
97	673	6199
98	679	6184
99	685	6170
100	692	6162
101	699	6155
102	705	6143
103	711	6134
104	717	6119
105	723	6104
106	729	6088
107	741	6122
108	752	6148
109	758	6139
110	762	6110
111	767	6085
112	772	6064
113	777	6043
114	782	6020
115	787	6005
116	793	5984
117	797	5963
118	803	5945
119	808	5930
120	813	5910
121	820	5907
122	826	5891
123	831	5870
124	836	5854
125	841	5840
126	846	5821
127	852	5805
128	857	5789
129	861	5766
130	866	5747
131	872	5739
132	877	5723
133	883	5708
134	888	5690
135	892	5671
136	897	5652
137	903	5644
138	908	5627
139	912	5608
140	918	5595
141	923	5578
142	927	5557
143	932	5542
144	937	5530
145	942	5512
146	947	5498
147	952	5483
148	956	5464
149	961	5446
150	967	5437
151	972	5427
152	977	5413
153	983	5403
154	988	5386
155	992	5368
156	997	5354
157	1002	5343
158	1007	5328
159	1012	5317
160	1017	5304
161	1022	5286
162	1026	5272
163	1032	5261
164	1036	5246
165	1042	5238
166	1048	5230
167	1053	5217
168	1058	5204
169	1063	5192
170	1068	5179
171	1074	5173
172	1080	5165
173	1085	5152
174	1089	5137
175	1094	5125
176	1100	5115
177	1104	5102
178	1110	5093
179	1116	5084
180	1120	5071
181	1125	5059
182	1131	5053
183	1136	5041
184	1142	5031
185	1148	5027
186	1154	5017
187	1158	5005
188	1164	4995
189	1168	4981
190	1174	4974
191	1181	4971
192	1186	4961
193	1193	4957
194	1198	4948
195	1204	4940
196	1210	4932
197	1214	4918
198	1218	4903
199	1222	4891
200	1227	4878
201	1231	4865
202	1235	4852
203	1242	4847
204	1247	4838
205	1252	4826
206	1257	4817
207	1262	4807
208	1267	4798
209	1272	4787
210	1277	4776
211	1282	4765
212	1287	4756
213	1292	4748
214	1298	4740
215	1303	4732
216	1309	4723
217	1313	4713
218	1318	4703
219	1324	4694
220	1329	4687
221	1334	4677
222	1339	4667
223	1344	4658
224	1349	4648
225	1354	4638
226	1361	4634
227	1366	4628
228	1372	4622
229	1379	4617
230	1385	4611
231	1390	4603
232	1394	4592
233	1400	4583
234	1405	4575
235	1410	4565
236	1415	4557
237	1421	4550
238	1427	4546
239	1432	4537
240	1437	4528
241	1442	4518
242	1446	4507
243	1451	4496
244	1456	4489
245	1460	4477
246	1465	4467
247	1469	4456
248	1474	4446
249	1478	4435
250	1483	4426
251	1488	4417
252	1492	4406
253	1497	4396
254	1502	4388
255	1506	4377
256	1510	4368
257	1515	4359
258	1521	4354
259	1526	4343
260	1530	4334
261	1536	4326
262	1540	4316
263	1544	4306
264	1549	4298
265	1555	4292
266	1560	4284
267	1565	4276
268	1570	4267
269	1574	4257
270	1579	4247
271	1584	4239
272	1589	4231
273	1593	4222
274	1598	4213
275	1602	4204
276	1606	4194
277	1611	4185
278	1616	4176
279	1621	4168
280	1625	4159
281	1630	4151
282	1635	4143
283	1640	4135
284	1645	4128
285	1650	4121
286	1655	4112
287	1659	4103
288	1664	4095
289	1669	4087
290	1674	4079
291	1679	4071
292	1683	4063
293	1688	4055
294	1693	4047
295	1698	4039
296	1703	4032
297	1708	4025
298	1714	4019
299	1719	4012
300	1724	4004
301	1729	3998
302	1734	3990
303	1739	3983
304	1745	3976
305	1750	3970
306	1755	3963
307	1762	3959
308	1767	3952
309	1772	3944
310	1777	3937
311	1782	3931
312	1787	3924
313	1794	3920
314	1799	3913
315	1804	3906
316	1809	3899
317	1815	3893
318	1820	3886
319	1825	3879
320	1830	3873
321	1836	3866
322	1841	3858
323	1846	3852
324	1850	3843
325	1855	3835
326	1860	3828
327	1865	3820
328	1870	3814
329	1876	3810
330	1881	3801
331	1885	3793
332	1890	3786
333	1895	3779
334	1899	3771
335	1905	3765
336	1910	3759
337	1915	3750
338	1919	3743
339	1925	3736
340	1929	3728
341	1934	3721
342	1939	3715
343	1944	3708
344	1949	3701
345	1954	3693
346	1959	3687
347	1963	3679
348	1969	3673
349	1974	3667
350	1979	3659
351	1984	3652
352	1988	3645
353	1993	3638
354	1998	3631
355	2004	3625
356	2008	3618
357	2013	3610
358	2018	3604
359	2023	3598
360	2028	3590
361	2034	3585
362	2040	3579
363	2044	3572
364	2050	3567
365	2055	3560
366	2061	3555
367	2068	3552
368	2072	3543
369	2076	3536
370	2081	3529
371	2085	3521
