Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,2_Star_Rating,3_Star_Rating,5_Star_Rating,Organic Search Rank,online_cost_per_impression,4_Star_Rating,average_rating,num_unique_Search_Terms,total_clicks,num_unique_campaigns,total_cost,Online_Impressions,Segment_Makeup,Online_Clicks,Online_Cost,video_cost_per_impression,Units_sold>1000
3260.0,24.70360481,67,125,11,8,82.0,64.0,180,1859,4.0,0.0,353,4.5,5.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
3729.0,22.22651449,126,221,8,6,31.0,15.0,41,180,22.0,0.0,42,4.1,10.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
2675.0,25.57446809,126,221,9,10,19.0,14.0,37,269,29.0,0.0,54,4.4,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
6281.0,20.97106481,77,98,0,3,25.0,18.0,62,532,18.0,0.01985570654279709,107,4.5,3.0,6661.0,4,66632.689552,133688,True,917.0,2654.489552,0.009701795595400388,1
131.0,20.09952607,140,139,16,1,23.0,21.0,45,559,18.0,0.0,91,4.5,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
5521.0,24.49926794,81,105,0,8,112.0,75.0,209,3236,27.0,0.03556556216834429,463,4.6,8.0,1346.0,4,5784.062941,162630,True,1346.0,5784.062941,0.0,1
856.0,20.90566038,125,221,3,5,25.0,24.0,58,675,11.0,0.0,113,4.6,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2796.0,22.814116,117,209,9,4,65.0,49.0,112,1741,11.0,0.010115817395837431,278,4.6,8.0,763.0,2,2056.909846,203335,False,763.0,2056.909846,0.0,1
2341.0,17.51208285,165,158,0,8,29.0,24.0,88,1221,18.0,0.028768968509519998,200,4.6,4.0,956.0,2,4422.62476,153728,False,956.0,4422.62476,0.0,0
4242.0,25.70047393,91,54,8,10,15.0,0.0,0,0,28.0,0.019756845766246846,0,1.0,3.0,1666.0,5,6593.076757500001,333710,False,1666.0,6593.076757500001,0.0,1
2756.0,30.93792517,129,209,8,9,180.0,128.0,335,4325,34.0,0.020615740680559717,695,4.6,12.0,474.0,2,1306.811186,63388,False,474.0,1306.811186,0.0,1
1798.0,38.004656739999994,113,209,10,12,109.0,69.0,194,1744,18.0,0.03136349174037157,299,4.4,4.0,740.0,4,3351.032275,106844,True,740.0,3351.032275,0.0,0
5372.0,13.18043742,115,209,11,7,41.0,40.0,87,916,12.0,0.021969831927588584,161,4.5,5.0,658.0,2,2706.353746,123184,False,658.0,2706.353746,0.0,1
2790.0,19.94369548,70,127,11,4,0.0,0.0,0,0,32.0,0.022495243848077204,0,0.0,0.0,5361.0,4,58333.047118,88386,False,570.0,1988.287118,0.010541854962766111,1
1443.668011,17.78613569,91,62,12,4,45.0,36.0,67,457,9.0,0.0,89,4.3,2.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
1319.0,37.61686526,81,104,0,9,168.0,118.0,338,4281,24.0,0.0,719,4.6,8.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3763.0,12.03125,81,57,5,12,76.0,53.0,145,2105,36.0,0.01751394690543821,301,4.6,13.0,439.0,4,1781.9215,101742,True,439.0,1781.9215,0.0,1
3506.0,20.04682779,113,209,13,11,72.0,63.0,141,1548,3.0,0.018939136412673648,279,4.5,1.0,11358.0,2,114594.865724,180752,False,1049.0,3423.305724,0.012052667150486772,1
1050.0,21.28395062,153,186,9,4,81.0,56.0,149,1993,12.0,0.0,299,4.6,7.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
4664.0,17.33944954,125,221,8,1,0.0,0.0,0,0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
3142.0,21.42736077,81,56,5,5,0.0,0.0,0,0,31.0,0.009985176807996647,0,0.0,2.0,1295.0,2,2550.284053,255406,True,1295.0,2550.284053,0.0,0
7324.5,19.0495338,75,131,10,12,84.0,51.0,111,1857,21.0,0.02293863388187332,287,4.6,5.0,830.0,5,4613.876819,201139,True,830.0,4613.876819,0.0,1
2510.0,17.59834559,126,149,9,12,185.5,135.5,374,5093,21.0,0.022052765164632313,766,4.6,9.0,816.0,2,3082.226776,139765,False,816.0,3082.226776,0.0,1
64.0,21.28395062,87,63,8,8,15.0,0.0,0,0,30.0,0.0,0,1.0,5.0,9880.0,0,102695.19,0,False,0.0,0.0,0.012037634431919535,0
4908.0,9.186111111,115,209,11,11,58.0,51.0,125,1635,7.0,0.02477751805735985,268,4.6,2.0,5805.0,2,62798.893116,50034,False,426.0,1239.743116,0.009999826186456125,1
4655.0,35.27522195,79,100,0,8,185.5,135.5,374,5093,23.0,0.0276037577298996,766,4.6,13.5,1172.0,4,5182.467495,187744,True,1172.0,5182.467495,0.0,1
2741.0,22.3321492,85,123,7,1,57.0,36.0,53,523,45.0,0.0,100,4.3,0.0,5379.0,0,61559.15,0,True,0.0,0.0,0.009999826186456125,0
1966.0,19.98349057,70,127,11,4,0.0,0.0,0,0,32.0,0.018989760391748094,0,0.0,0.0,806.0,2,2532.303538,133350,False,806.0,2532.303538,0.0,1
3927.0,16.12033694,172,158,9,5,113.0,76.0,226,3256,3.0,0.0,466,4.6,7.0,0.0,0,0.0,0,False,0.0,0.0,0.0,0
3377.0,21.64841499,125,221,7,7,0.0,0.0,0,0,30.0,0.0,0,0.0,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
997.0,18.54964539,127,221,8,10,94.0,65.0,217,2321,8.0,0.0,405,4.5,6.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2279.0,21.86951872,113,209,13,1,19.0,21.0,49,416,18.0,0.013700417153930595,90,4.5,0.0,640.0,2,1223.091041,89273,False,640.0,1223.091041,0.0,0
683.0,25.91881919,82,105,0,4,60.0,49.0,165,2430,11.0,0.0,353,4.6,8.0,0.0,0,0.0,0,True,0.0,0.0,0.0,1
2126.0,19.57394711,125,221,8,3,46.0,26.0,87,1552,15.0,0.0,201,4.7,9.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
52.0,38.004656739999994,89,58,9,8,57.0,31.0,87,1259,21.0,0.028901868903617525,186,4.6,5.0,735.0,2,3065.534529,106066,False,735.0,3065.534529,0.0,0
2911.0,20.20183486,85,123,7,5,57.0,36.0,53,523,10.0,0.017483804891465324,100,4.3,0.0,960.0,2,2892.363327,165430,True,960.0,2892.363327,0.0,0
1923.0,35.86810229,152,186,10,11,44.0,37.0,92,1640,3.0,0.0,230,4.7,5.0,10309.0,0,111171.56,0,True,0.0,0.0,0.012052667150486772,0
3931.0,22.40683962,67,125,11,1,0.0,16.0,48,335,32.0,0.0,68,4.5,3.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2897.0,13.08935686,119,209,11,2,71.0,60.0,138,1459,21.0,0.0,267,4.5,0.0,5379.0,0,61559.15,0,True,0.0,0.0,0.009999826186456125,1
2729.0,18.10104012,115,209,2,9,165.0,118.0,341,4391,3.0,0.0,673,4.6,8.0,0.0,0,0.0,0,False,0.0,0.0,0.0,1
3057.0,27.59696728,67,125,11,12,35.0,14.0,30,0,19.0,0.025957445281089373,0,1.9,0.0,963.0,4,4822.763546,185794,True,963.0,4822.763546,0.0,1
2862.0,18.50673575,82,105,0,4,24.0,21.0,54,501,3.0,0.0,91,4.5,0.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
2613.0,21.36165803,122,209,14,1,55.0,36.0,82,1163,15.0,0.0,188,4.6,7.0,5379.0,0,61559.15,0,True,0.0,0.0,0.009999826186456125,0
3688.0,25.84187568,85,59,9,3,0.0,0.0,25,403,32.0,0.01568866912527069,66,4.8,3.0,4260.0,2,42635.076288,152389,False,781.0,2390.796288,0.01043443224601899,0
1282.831555,21.64085667,113,166,13,2,0.0,0.0,0,0,14.0,0.0,0,0.0,6.0,0.0,0,0.0,0,True,0.0,0.0,0.0,0
